host_t_s,seq,t_ms,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,gyro_norm,acc_norm,flags,used_for_fit
0.08039044903125614,45,36659,-0.012907538563013077,0.0062216599471867085,-0.00846018735319376,0.005138024687767029,0.010985493659973145,9.785965919494629,0.016639963170188708,9.785973434353835,449,1
0.08535289706196636,46,36664,0.0266147181391716,-0.010675729252398014,-0.001241783844307065,-0.004099637269973755,0.035744816064834595,9.767655372619629,0.028702899571542217,9.767721636961527,449,1
0.09037174796685576,47,36669,0.00010982371168211102,-0.004110999405384064,0.007539818994700909,-0.048938050866127014,0.09499173611402512,9.768921852111816,0.008588436867764027,9.769506257504537,449,1
0.09545211400836706,48,36674,0.007159029133617878,0.0038541259709745646,-0.020428260788321495,0.04104860872030258,0.014604300260543823,9.787162780761719,0.021986810227311367,9.787259758021722,449,1
0.10039030900225043,49,36679,0.010774428024888039,0.012949573807418346,0.008107716217637062,0.0251321941614151,0.04722315073013306,9.802896499633789,0.01869531554488993,9.803042458118838,449,1
0.10538483306299895,50,36684,0.01486655231565237,-0.008586539886891842,-0.00324268895201385,0.025866933166980743,0.05540481209754944,9.852982521057129,0.01747163634645382,9.853172248148935,449,1
0.1103646190604195,51,36689,-0.0030548954382538795,-0.0008727471577003598,0.009652547538280487,-0.03193531930446625,0.002846464514732361,9.827956199645996,0.01016197558148528,9.828008497612295,449,1
0.11543670401442796,52,36694,0.006015411112457514,0.006942859850823879,-0.025801291689276695,-0.014760240912437439,0.03768406808376312,9.77495288848877,0.027387864586257873,9.77503667133142,449,1
0.1203822890529409,53,36699,-0.002175695262849331,-0.009649094194173813,-0.0029717753641307354,0.0037153661251068115,-0.01362861692905426,9.81160831451416,0.010328122649333622,9.811618483236506,449,1
0.1253815779928118,54,36704,0.019062723964452744,0.005173240788280964,-0.007841932587325573,0.02714010328054428,0.024187177419662476,9.817688941955566,0.021251959248563733,9.817756249049689,449,1
0.1303868630202487,55,36709,0.022259892895817757,-0.006542790215462446,-0.007654266431927681,-0.021805807948112488,0.03786464035511017,9.784027099609375,0.024431511008281167,9.784124667548964,449,1
0.13538463902659714,56,36714,0.004260913003236055,-0.00213072681799531,-1.9769468053709716e-05,-0.016128763556480408,0.002377331256866455,9.804398536682129,0.004764007475428397,9.804412091237927,449,1
0.1404243550496176,57,36719,0.01812565140426159,-0.017022158950567245,0.0011407798156142235,0.04822058230638504,0.04869064688682556,9.786375999450684,0.024891655484416852,9.786615922078305,449,1
0.14536663505714387,58,36724,-0.005339477676898241,-0.012801148928701878,-0.000731156556867063,0.0018788129091262817,0.09577428549528122,9.80765151977539,0.01388934936084299,9.808119319066863,449,1
0.15040323801804334,59,36729,0.004198825918138027,-0.0043460894376039505,-0.004236887209117413,0.04009658843278885,0.006783157587051392,9.844772338867188,0.007380368941540999,9.844856329665523,449,1
0.1553723330143839,60,36734,0.00856925081461668,-0.008457712829113007,0.0032405322417616844,0.008463993668556213,0.008831843733787537,9.768010139465332,0.012468601165866537,9.768017799192942,449,1
0.1604084699647501,61,36739,0.008443359285593033,-0.0011728752870112658,-0.005428168922662735,-0.0233677476644516,0.06689324975013733,9.799623489379883,0.010105986855198921,9.799879657021254,449,1
0.1653998770052567,62,36744,0.0007818544982001185,0.016656991094350815,-0.01952550560235977,-0.005358055233955383,-0.033505722880363464,9.804959297180176,0.025677071830748556,9.805018009243105,449,1
